subject,start,end,organizer,required attendees,optional attendees
Teaching Schedule Review — Jerusalem,2025-06-30 14:30:00,2025-06-30 18:30:00,Secundus,Priscilla;Epaphroditus;James_Alphaeus;Tryphosa;Caius;Peter;Onesimus;Cornelius;Prochorus,Philemon;Justus;Onesiphorus
Deacon Selection — Philadelphia,2025-07-01 07:00:00,2025-07-01 09:30:00,Sosthenes,Nymphas;Peter;Patrobas;Matthew;Archippus;Damaris,Mary_Mark;Linus;Chloe;Parmenas
Baptism Service Coordination — Sardis,2025-07-01 09:20:00,2025-07-01 11:20:00,Paul,Mary_Rome;Justus;Cornelius;Simon_Zealot;Patrobas;Parmenas,Agabus;Caius;Luke
Elders Meeting — Hierapolis,2025-07-04 10:00:00,2025-07-04 14:00:00,Quartus,Jason;Epaphras;Sosthenes;Mary_Rome;Thomas;Andrew;Linus;Trophimus,Silas;Luke;Joseph_Barsabas
Sabbath Teaching Plan — Caesarea,2025-07-05 08:45:00,2025-07-05 09:15:00,Matthias,Rufus;James_Alphaeus;Silas;Quartus;Demetrius;Nymphas;Paul,Priscilla;Barnabas;Trophimus;Timon
Farewell Address — Thessalonica,2025-07-06 08:30:00,2025-07-06 09:15:00,Onesiphorus,Silas;Carpus;Epaphras;Nymphas,Tabitha;Demetrius;Mark
Vision Interpretation Session — Berea,2025-07-06 08:45:00,2025-07-06 10:15:00,Paul,Manaen;Matthew;Aquila;Olympas;Mary_Rome;Lucius;Lydia;Prochorus,
Teaching Schedule Review — Galatia,2025-07-06 14:30:00,2025-07-06 16:30:00,James_Zebedee,Phlegon;Nicanor;Tabitha;Prochorus;Junia;Parmenas;Manaen;Quartus,
Farewell Address — Colossae,2025-07-07 07:20:00,2025-07-07 11:20:00,James_Zebedee,Olympas;Thaddaeus;Cornelius;Parmenas;Agabus,
Sabbath Teaching Plan — Hierapolis,2025-07-07 16:00:00,2025-07-07 20:00:00,Rufus,Tychicus;Silas;Tryphosa;Fortunatus;Quartus,Philip;Justus;Agabus;Onesimus
Baptism Service Coordination — Cyprus,2025-07-08 09:20:00,2025-07-08 09:50:00,Onesiphorus,Epaphroditus;Achaicus;Archippus;John;Mary_Mark;Demas;Nicolas,Timothy;Zenas;Caius
Breaking of Bread — Crete,2025-07-08 11:20:00,2025-07-08 13:50:00,Paul,Caius;Gaius_Derbe;Gaius_Macedonia;Apollos;Timothy,Joseph_Barsabas;Aquila;Nicolas;James_Zebedee
Collection for the Saints — Galatia,2025-07-09 08:30:00,2025-07-09 10:00:00,Thaddaeus,Lydia;Bartholomew;Erastus;Junia;John;Luke;Hermes;Silas;Onesiphorus;Mark,
Council of Apostles — Joppa,2025-07-09 09:30:00,2025-07-09 11:00:00,Sosthenes,Cornelius;Priscilla;James_Zebedee,
Collection for the Saints — Corinth,2025-07-09 14:00:00,2025-07-09 15:00:00,Cephas_Disciple,John;Mark;Secundus;Achaicus;Prochorus;Onesiphorus;Aristarchus;Matthew,Apphia;Andronicus
Discipleship Training — Antioch,2025-07-11 10:00:00,2025-07-11 11:30:00,Matthew,Linus;Olympas;Mark;Agabus;Dionysius;Zenas,Tryphosa;Justus;Simon_Zealot;Stephen
Discipleship Training — Lystra,2025-07-11 13:45:00,2025-07-11 16:45:00,Mark,Peter;Silas;Philemon;Sopater;Timothy;Cleopas;Mary_Rome;Tabitha,
Apostolic Letter Review — Thessalonica,2025-07-11 14:30:00,2025-07-11 15:15:00,James_Zebedee,Eutychus;Tryphena;Luke;Fortunatus;Justus;Onesimus;Joseph_Barsabas,Archippus;Prochorus;Hermes
Collection for the Saints — Joppa,2025-07-12 07:00:00,2025-07-12 09:00:00,Hermas,Hermes;James_Zebedee;Secundus;Prochorus;Onesiphorus;Erastus;Chloe;Stephen;Phlegon,
Scribal Workshop — Caesarea,2025-07-12 08:20:00,2025-07-12 09:50:00,Simon_Zealot,Carpus;Paul;Epaphroditus;Trophimus;Cleopas;Zenas;Andrew;Cephas_Disciple;Mark;Onesimus,Cornelius;Hermas;Joseph_Barsabas;Parmenas
Church Planting Review — Corinth,2025-07-12 14:00:00,2025-07-12 15:30:00,James_Alphaeus,Mary_Mark;Rufus;Tryphena;Epaphras;Carpus;Onesimus;Tychicus;Nicolas;Andronicus,Lucius;John;Phlegon
Apostolic Letter Review — Galatia,2025-07-13 09:00:00,2025-07-13 10:00:00,Paul,Chloe;Bartholomew;Lucius;Tryphena;Erastus;Prochorus;Phlegon;Tryphosa,Lydia;Demas
Scribal Workshop — Patmos,2025-07-13 14:45:00,2025-07-13 15:45:00,Gaius_Derbe,Gaius_Macedonia;Archippus;Quartus;Mary_Mark;Barnabas;Damaris;Sosthenes;Secundus,Thaddaeus;Junia;Nicanor
Discipleship Training — Thyatira,2025-07-13 19:45:00,2025-07-13 21:45:00,Luke,Persis;Secundus,Philemon
Doctrinal Council — Iconium,2025-07-16 10:00:00,2025-07-16 11:30:00,John,Andrew;Onesimus;Caius;Lydia;Crescens;Simon_Zealot;Nymphas;Secundus,Timothy;Bartholomew
Doctrinal Council — Cyprus,2025-07-17 08:00:00,2025-07-17 10:30:00,Secundus,Achaicus;James_Zebedee;Lydia;Tabitha;Timon;Epaphroditus;Cleopas;Erastus;Eutychus,Junia;Peter;Matthias;Titus
Gentile Mission Update — Iconium,2025-07-18 18:00:00,2025-07-18 21:00:00,Mark,Andrew;Hermas,Phoebe;Apollos;Priscilla
Vision Interpretation Session — Antioch,2025-07-18 19:00:00,2025-07-18 20:30:00,Zenas,Justus;Lydia;Parmenas;Trophimus,Tychicus;Philemon
Deacon Selection — Smyrna,2025-07-19 09:20:00,2025-07-19 13:20:00,Matthias,Nicolas;Erastus;Tryphosa;Luke;Aristarchus;Tryphena;Titus;Mary_Rome;Phoebe;Matthew,Peter
Trial Preparation — Berea,2025-07-21 08:45:00,2025-07-21 12:45:00,Thomas,James_Zebedee;Gaius_Derbe;Lucius;Thaddaeus;Timon;Agabus,Paul;Asyncritus;Secundus;Barnabas
Trial Preparation — Berea,2025-07-21 09:00:00,2025-07-21 10:30:00,Andrew,Priscilla;Lydia,Demas;Nicanor;Crescens;Cephas_Disciple
Famine Relief Coordination — Malta,2025-07-22 08:20:00,2025-07-22 12:20:00,Andrew,Stephen;Chloe;Hermas,Secundus;Simon_Zealot;Achaicus;Tryphosa
Prayer Vigil — Patmos,2025-07-22 13:45:00,2025-07-22 14:30:00,Simon_Zealot,James_Zebedee;Nicanor;Secundus;Manaen;James_Alphaeus;Crispus;Quartus;Achaicus;Cornelius,Philemon
Famine Relief Coordination — Troas,2025-07-22 14:15:00,2025-07-22 15:15:00,Paul,Epaphroditus;Stephanas;Caius,Simon_Zealot;Patrobas;Manaen;Cleopas
Healing Ministry Debrief — Iconium,2025-07-22 18:20:00,2025-07-22 19:20:00,Peter,Patrobas;James_Zebedee;Parmenas;Apphia;John;Justus;Mary_Mark;Andrew;Gaius_Macedonia,Cephas_Disciple;Phoebe;Dionysius;Tryphena
Deacon Selection — Malta,2025-07-23 11:00:00,2025-07-23 12:30:00,Hermas,Joseph_Barsabas;Junia;Patrobas;Gaius_Macedonia;Cleopas,Hermes;Achaicus;John;James_Alphaeus
Letter Dictation — Smyrna,2025-07-24 08:45:00,2025-07-24 11:15:00,James_Zebedee,Mark;Tychicus;Agabus;Simon_Zealot;Olympas;Timothy;Justus;Persis,
Gentile Mission Update — Malta,2025-07-24 19:00:00,2025-07-24 20:30:00,James_Alphaeus,Titus;Agabus;Dionysius;Priscilla;Barnabas;Cornelius;Andrew;Carpus;Thaddaeus,Hermes;Demetrius;Crispus
Teaching Schedule Review — Philadelphia,2025-07-25 10:30:00,2025-07-25 13:00:00,Paul,Philemon;Hermes;Andrew;Quartus;Matthew,
Letter Dictation — Lystra,2025-07-25 14:45:00,2025-07-25 16:45:00,Bartholomew,Barnabas;Agabus;Crescens,Sosthenes
Prayer Vigil — Iconium,2025-07-26 11:20:00,2025-07-26 14:20:00,James_Alphaeus,Barnabas;Mary_Rome;Nymphas;Philemon;Aquila;Thomas;Apollos,Luke;Bartholomew;Trophimus
Letter Dictation — Thyatira,2025-07-27 11:15:00,2025-07-27 15:15:00,Matthew,Apphia;Lydia;Thaddaeus;John;Mary_Mark;Parmenas;Hermes,Titus;Zenas;Timothy;Tabitha
Elders Meeting — Ephesus,2025-07-28 08:20:00,2025-07-28 09:20:00,Simon_Zealot,Tryphosa;Sosthenes;Patrobas;Gaius_Macedonia;Trophimus;Rufus;Secundus,
Council of Apostles — Caesarea,2025-07-28 09:30:00,2025-07-28 10:30:00,Quartus,Demas;Achaicus;Lucius;Sosthenes;Matthias;Mary_Mark,Nymphas
Church Planting Review — Tarsus,2025-07-28 10:00:00,2025-07-28 13:00:00,James_Zebedee,Rufus;Gaius_Macedonia;Persis;Tabitha;Luke;Phoebe;Prochorus;Cornelius;Nymphas,
New Convert Catechesis — Miletus,2025-07-28 18:00:00,2025-07-28 20:30:00,Paul,Mark;Simon_Zealot;Secundus;Bartholomew;Carpus;Onesimus;Patrobas,James_Alphaeus;Jason
Shipwreck Recovery Briefing — Athens,2025-07-28 19:15:00,2025-07-28 23:15:00,Matthew,Secundus;Crispus;Persis;Mark;Simon_Zealot;Andronicus;Barnabas,Cornelius;Hermes;Jason
New Convert Catechesis — Antioch,2025-07-29 10:15:00,2025-07-29 11:45:00,Onesiphorus,Demas;Mary_Rome;Fortunatus;Nicolas;Paul;Philip,Cornelius;Erastus;Luke;Barnabas
Collection for the Saints — Jerusalem,2025-07-29 14:00:00,2025-07-29 16:00:00,Paul,Jason;Nymphas,Tryphosa;Phoebe;Parmenas;Achaicus
Missionary Strategy Session — Pergamum,2025-07-29 18:00:00,2025-07-29 20:30:00,John,Aquila;Lucius;Mary_Mark;James_Zebedee,Tabitha
Synagogue Outreach Planning — Philippi,2025-07-29 19:30:00,2025-07-29 21:00:00,Zenas,Demas;Apollos;Lucius,Lydia;Onesiphorus
Hospitality Network Coordination — Corinth,2025-07-31 13:30:00,2025-07-31 14:00:00,James_Zebedee,Stephanas;Dionysius;Philip;Cleopas;Apollos;Patrobas;Hermas,Junia;Demas;Thomas
Teaching Schedule Review — Laodicea,2025-08-01 08:00:00,2025-08-01 09:00:00,Gaius_Derbe,Silas;Phlegon;Phoebe;Cornelius,Timon;Trophimus;Luke;Damaris
Church Planting Review — Berea,2025-08-02 18:00:00,2025-08-02 19:30:00,James_Alphaeus,Philemon;Olympas;Thomas;Jason;Andronicus;Matthias;Demas,Cephas_Disciple;Sosthenes;Prochorus
New Convert Catechesis — Galatia,2025-08-03 09:00:00,2025-08-03 10:30:00,Matthew,Simon_Zealot;Nicanor;Secundus;Nicolas,Phoebe;Apollos
Idol-Meat Controversy — Galatia,2025-08-03 19:00:00,2025-08-03 19:45:00,Philip,Nymphas;Barnabas,Lydia
Council of Apostles — Tarsus,2025-08-05 07:45:00,2025-08-05 09:45:00,Asyncritus,Chloe;John;Crescens;Andrew;Dionysius,Timon;Patrobas;Trophimus;Phoebe
Synagogue Outreach Planning — Samaria,2025-08-05 13:30:00,2025-08-05 14:00:00,Philip_Deacon,Lydia;Jason;Apphia;Sosthenes;Cleopas;Persis;Matthew,
Letter Dictation — Caesarea,2025-08-05 18:00:00,2025-08-05 18:45:00,Philip_Deacon,James_Zebedee;Lucius;Demas;Prochorus,Matthias
Letter Dictation — Caesarea,2025-08-06 10:15:00,2025-08-06 13:15:00,Zenas,Justus;Carpus;Junia;Hermes;Cleopas,Tabitha
Church Planting Review — Laodicea,2025-08-06 16:00:00,2025-08-06 18:00:00,Andrew,Lucius;Rufus;Crispus;Cleopas;Archippus,Onesiphorus;Paul;Cornelius
Trial Preparation — Rome,2025-08-09 08:30:00,2025-08-09 09:00:00,Stephen,Sosthenes;Andrew;Matthias;Tryphena;Phoebe,Philip_Deacon;Persis
Collection for the Saints — Laodicea,2025-08-09 16:30:00,2025-08-09 17:00:00,Philip,Thaddaeus;Simon_Zealot;Asyncritus;Prochorus;Hermas;Luke,Andrew;Achaicus;Erastus;Matthew
Missionary Strategy Session — Galatia,2025-08-10 08:20:00,2025-08-10 10:50:00,Paul,Secundus;Stephanas;Agabus;Manaen;Luke;Persis;Apollos;Nymphas,
Shipwreck Recovery Briefing — Joppa,2025-08-11 14:00:00,2025-08-11 17:00:00,Secundus,Patrobas;Epaphras;Tryphosa;Philip_Deacon;Archippus,Agabus
Council of Apostles — Hierapolis,2025-08-12 15:30:00,2025-08-12 17:00:00,Paul,Timothy;Mark;Nicolas;Agabus;Timon;Lucius;Lydia;Demas;Andronicus,Nicanor;Zenas;Junia
Missionary Strategy Session — Samaria,2025-08-13 09:00:00,2025-08-13 11:30:00,Peter,Archippus;Chloe;Gaius_Derbe;Timothy,
Famine Relief Coordination — Antioch,2025-08-13 13:20:00,2025-08-13 15:50:00,Matthew,Timothy;Bartholomew;Asyncritus;Gaius_Derbe,Crescens;Apollos;Junia;Peter
Persecution Response Briefing — Puteoli,2025-08-14 07:20:00,2025-08-14 07:50:00,Matthias,Quartus;Gaius_Macedonia;Timon;Junia;Nymphas;Justus;Chloe;Crescens,Philip_Deacon;Timothy
Council of Apostles — Ephesus,2025-08-14 10:20:00,2025-08-14 12:20:00,Tychicus,Matthias;Eutychus;Aquila;Joseph_Barsabas;Timon;Philip;James_Zebedee,Apphia;Secundus;Tryphena
Idol-Meat Controversy — Puteoli,2025-08-15 08:20:00,2025-08-15 10:50:00,Carpus,Philip;Patrobas;Bartholomew;Matthew;Epaphroditus;Prochorus;Cephas_Disciple;Archippus;Demetrius,
Synagogue Outreach Planning — Derbe,2025-08-16 09:00:00,2025-08-16 10:30:00,Sosthenes,Agabus;Secundus;Bartholomew;Eutychus;Trophimus;Onesimus,James_Zebedee
Church Planting Review — Tarsus,2025-08-16 10:45:00,2025-08-16 12:15:00,Zenas,Parmenas;Titus;Erastus;Onesimus;John;Gaius_Derbe;Linus,Onesiphorus;Patrobas;Agabus
Letter Dictation — Perga,2025-08-19 08:30:00,2025-08-19 09:15:00,James_Zebedee,Crescens;Secundus;John;Stephen;Carpus;Philip_Deacon,Nicolas
Church Planting Review — Tarsus,2025-08-21 08:00:00,2025-08-21 10:30:00,Paul,Cornelius;Stephen;Phoebe;Manaen;Zenas;Matthias;Mary_Rome;John;Silas;Caius,Barnabas;Onesiphorus;Patrobas
Gentile Mission Update — Hierapolis,2025-08-21 19:20:00,2025-08-21 19:50:00,Paul,Dionysius;Gaius_Macedonia;Lucius;Epaphras;Bartholomew;Andronicus;Andrew;Titus;Fortunatus;Phlegon,Damaris;Matthias;Jason;Lydia
Widow's Care Logistics — Derbe,2025-08-23 09:00:00,2025-08-23 09:45:00,Simon_Zealot,Demas;Archippus,
Letter Dictation — Joppa,2025-08-23 13:00:00,2025-08-23 16:00:00,Matthew,Demas;Titus;Silas;Stephen;Tabitha;Nymphas;Stephanas;Trophimus;Olympas;Achaicus,
Teaching Schedule Review — Perga,2025-08-25 11:45:00,2025-08-25 12:30:00,Rufus,Barnabas;Achaicus,Bartholomew;Parmenas
Doctrinal Council — Sardis,2025-08-25 15:20:00,2025-08-25 16:50:00,Paul,Thomas;Junia;Nicolas;Tabitha;Apphia;Phoebe,Stephen;Tryphosa;Nicanor;Sosthenes
Council of Apostles — Iconium,2025-08-26 14:00:00,2025-08-26 15:30:00,Olympas,Timothy;Apphia,Secundus;James_Zebedee;Crescens;Hermes
Shipwreck Recovery Briefing — Athens,2025-08-26 18:00:00,2025-08-26 18:30:00,Epaphras,Lucius;Priscilla;Timon;Asyncritus;Onesimus;Philip_Deacon,Dionysius
Discipleship Training — Sardis,2025-08-28 14:00:00,2025-08-28 15:00:00,Matthias,Gaius_Derbe;Simon_Zealot;Philip_Deacon;Luke;Secundus;Prochorus;Nicolas;Manaen,Apollos
Healing Ministry Debrief — Ephesus,2025-08-28 15:45:00,2025-08-28 17:45:00,Crescens,Junia;Patrobas,Justus;Joseph_Barsabas;Stephen
Shipwreck Recovery Briefing — Alexandria,2025-08-28 18:00:00,2025-08-28 19:00:00,Thaddaeus,Onesimus;Junia,Apphia;Thomas;Apollos;Jason
Letter Dictation — Cyprus,2025-08-29 15:00:00,2025-08-29 15:30:00,Matthew,Tabitha;Thomas;Philip_Deacon,Tryphosa;Hermes
Vision Interpretation Session — Antioch,2025-08-29 16:30:00,2025-08-29 18:00:00,Paul,Carpus;Fortunatus,Onesiphorus;Hermes
Doctrinal Council — Jerusalem,2025-08-31 08:15:00,2025-08-31 09:15:00,Sosthenes,Paul;Lydia,Eutychus;Luke
Healing Ministry Debrief — Hierapolis,2025-08-31 16:30:00,2025-08-31 18:00:00,James_Alphaeus,Cleopas;Aquila;Epaphras;Tychicus;Apphia;Matthias;Olympas;Thaddaeus,
Letter Dictation — Perga,2025-09-01 08:00:00,2025-09-01 11:00:00,Andrew,Nicanor;Erastus;Fortunatus;Jason;Thomas;Junia;Barnabas;Asyncritus,
Famine Relief Coordination — Lystra,2025-09-01 10:45:00,2025-09-01 13:15:00,Matthias,Titus;Timothy;Cephas_Disciple;Aquila;Phoebe;Mary_Rome;James_Zebedee,Onesimus
Famine Relief Coordination — Pergamum,2025-09-01 11:30:00,2025-09-01 12:15:00,James_Alphaeus,Eutychus;Titus;Paul;Matthew,Tryphena;Olympas;Lucius
Council of Apostles — Berea,2025-09-01 15:20:00,2025-09-01 16:50:00,Rufus,Junia;Prochorus,Trophimus;Lucius;Archippus;Asyncritus
Council of Apostles — Joppa,2025-09-01 16:15:00,2025-09-01 17:45:00,Onesiphorus,Jason;Priscilla;Nymphas;Tryphosa;Asyncritus;Apollos,Phoebe;Titus;Trophimus;Demetrius
Synagogue Outreach Planning — Corinth,2025-09-03 07:00:00,2025-09-03 09:30:00,Paul,Gaius_Derbe;Linus;Justus;Fortunatus;Timon;Demas;Philip_Deacon;Epaphroditus;Hermes,Eutychus
Discipleship Training — Crete,2025-09-04 09:20:00,2025-09-04 09:50:00,Linus,Hermas;Priscilla,Titus;Prochorus
Farewell Address — Colossae,2025-09-04 11:00:00,2025-09-04 12:30:00,Gaius_Derbe,Sosthenes;Archippus;Lucius,
Teaching Schedule Review — Puteoli,2025-09-04 14:30:00,2025-09-04 18:30:00,Peter,Zenas;Matthew;Apollos,
Deacon Selection — Malta,2025-09-06 10:00:00,2025-09-06 10:30:00,Hermes,Caius;Priscilla;Gaius_Derbe;Onesiphorus;Parmenas;Nicanor;Hermas;Matthias;Mary_Mark;Fortunatus,
Synagogue Outreach Planning — Caesarea,2025-09-08 15:00:00,2025-09-08 16:30:00,Nicanor,Mary_Rome;Olympas,
Sabbath Teaching Plan — Alexandria,2025-09-09 18:00:00,2025-09-09 18:30:00,Matthias,Nymphas;Tabitha;Sopater;Philemon;Tryphena;Dionysius;Priscilla;Stephanas;Eutychus,Bartholomew
Sabbath Teaching Plan — Athens,2025-09-10 09:15:00,2025-09-10 10:00:00,Luke,Mary_Rome;Phoebe;Phlegon;Prochorus,
Collection for the Saints — Thessalonica,2025-09-10 10:30:00,2025-09-10 13:00:00,Thomas,Silas;Phlegon;Simon_Zealot;Philemon;Cephas_Disciple;Sopater,Asyncritus;Luke;Secundus
Letter Dictation — Colossae,2025-09-10 18:00:00,2025-09-10 22:00:00,Simon_Zealot,Lucius;Archippus,Andrew
Persecution Response Briefing — Thyatira,2025-09-12 13:30:00,2025-09-12 17:30:00,Peter,Stephanas;Gaius_Macedonia;Rufus;Priscilla;Linus;Paul;Achaicus,Andrew;Nymphas
