timestamp,subject,organizer,duration,participant_count,type
2025-07-07 09:00:00,Church Planting Review — Crete,Paul,60,5,teams_meeting
2025-07-07 14:00:00,Church Planting Review — Thessalonica,Philip_Deacon,45,7,teams_meeting
2025-07-08 11:30:00,Elders Meeting — Jerusalem,Hermas,20,3,teams_call
2025-07-09 08:15:00,Hospitality Network Coordination — Berea,Philip,150,3,teams_meeting
2025-07-11 09:30:00,Baptism Service Coordination — Joppa,Bartholomew,120,9,teams_meeting
2025-07-12 09:30:00,Collection for the Saints — Antioch,Matthew,120,5,teams_meeting
2025-07-12 15:30:00,Doctrinal Council — Caesarea,Matthias,2,2,teams_chat
2025-07-12 16:00:00,Doctrinal Council — Berea,Andrew,15,2,teams_call
2025-07-13 07:45:00,Healing Ministry Debrief — Jerusalem,Joseph_Barsabas,45,8,teams_meeting
2025-07-13 09:20:00,Deacon Selection — Miletus,Thomas,120,12,teams_meeting
2025-07-13 19:15:00,Baptism Service Coordination — Lystra,John,60,14,teams_meeting
2025-07-14 16:20:00,Breaking of Bread — Perga,Aristarchus,20,3,teams_call
2025-07-15 10:00:00,Scribal Workshop — Galatia,Andrew,45,4,teams_meeting
2025-07-16 11:00:00,Doctrinal Council — Galatia,Thaddaeus,45,10,teams_meeting
2025-07-18 10:20:00,Famine Relief Coordination — Thessalonica,Paul,10,3,teams_chat
2025-07-19 08:15:00,Scribal Workshop — Sardis,Hermas,150,6,teams_meeting
2025-07-19 13:00:00,Apostolic Letter Review — Thyatira,Matthew,2,3,teams_chat
2025-07-19 13:45:00,Lord's Supper Preparation — Smyrna,Nicanor,45,7,teams_meeting
2025-07-20 09:15:00,Healing Ministry Debrief — Hierapolis,Thomas,150,6,teams_meeting
2025-07-20 09:30:00,Discipleship Training — Crete,Paul,8,4,teams_chat
2025-07-20 10:45:00,Deacon Selection — Rome,Peter,30,9,teams_meeting
2025-07-22 14:15:00,Hospitality Network Coordination — Damascus,Peter,60,9,teams_meeting
2025-07-22 15:45:00,Church Planting Review — Philadelphia,Simon_Zealot,45,12,teams_meeting
2025-07-22 18:45:00,Collection for the Saints — Troas,James_Alphaeus,45,15,teams_meeting
2025-07-22 19:30:00,Farewell Address — Crete,Thaddaeus,60,8,teams_meeting
2025-07-23 09:45:00,Collection for the Saints — Jerusalem,Thaddaeus,90,6,teams_meeting
2025-07-23 16:00:00,Deacon Selection — Rome,John,8,5,teams_chat
2025-07-23 19:30:00,Doctrinal Council — Perga,Paul,75,14,teams_meeting
2025-07-26 07:30:00,Doctrinal Council — Caesarea,Nicolas,10,2,teams_call
2025-07-27 08:30:00,Discipleship Training — Lystra,Nicanor,8,3,teams_chat
2025-07-28 08:15:00,Gentile Mission Update — Hierapolis,John,150,12,teams_meeting
2025-07-28 09:45:00,Scribal Workshop — Philippi,Bartholomew,30,2,teams_call
2025-07-28 10:45:00,Elders Meeting — Jerusalem,Zenas,60,13,teams_meeting
2025-07-28 16:30:00,Scribal Workshop — Samaria,Timon,3,4,teams_chat
2025-07-29 08:00:00,Gentile Mission Update — Samaria,Simon_Zealot,90,3,teams_meeting
2025-07-29 14:00:00,Scribal Workshop — Berea,Paul,20,3,teams_call
2025-07-29 14:15:00,Healing Ministry Debrief — Philadelphia,Simon_Zealot,5,3,teams_chat
2025-07-29 16:00:00,Breaking of Bread — Thessalonica,Paul,120,10,teams_meeting
2025-07-30 09:30:00,Prayer Vigil — Iconium,James_Alphaeus,60,15,teams_meeting
2025-07-31 09:15:00,Collection for the Saints — Alexandria,Paul,30,5,teams_meeting
2025-08-01 09:15:00,Elders Meeting — Cyprus,Matthias,45,11,teams_meeting
2025-08-01 14:00:00,Missionary Strategy Session — Samaria,Peter,60,4,teams_meeting
2025-08-01 14:20:00,Gentile Mission Update — Philippi,Linus,3,5,teams_chat
2025-08-01 14:20:00,Farewell Address — Miletus,Caius,90,15,teams_meeting
2025-08-02 08:00:00,Shipwreck Recovery Briefing — Crete,Thaddaeus,60,11,teams_meeting
2025-08-02 11:00:00,Healing Ministry Debrief — Joppa,James_Alphaeus,3,5,teams_chat
2025-08-03 11:20:00,Persecution Response Briefing — Cyprus,Thomas,60,3,teams_meeting
2025-08-04 15:30:00,Healing Ministry Debrief — Thyatira,Paul,10,2,teams_chat
2025-08-04 19:30:00,Elders Meeting — Thyatira,Paul,10,2,teams_call
2025-08-06 09:20:00,Idol-Meat Controversy — Puteoli,Quartus,180,10,teams_meeting
2025-08-06 10:45:00,Teaching Schedule Review — Derbe,Paul,10,2,teams_chat
2025-08-06 14:20:00,Synagogue Outreach Planning — Alexandria,Sopater,45,10,teams_meeting
2025-08-06 16:20:00,Synagogue Outreach Planning — Hierapolis,Paul,5,3,teams_call
2025-08-07 14:20:00,Farewell Address — Colossae,Thaddaeus,75,12,teams_meeting
2025-08-07 19:00:00,Scribal Workshop — Thyatira,Sopater,45,7,teams_meeting
2025-08-08 10:00:00,Farewell Address — Smyrna,Trophimus,60,4,teams_meeting
2025-08-08 10:20:00,Scribal Workshop — Athens,Trophimus,3,3,teams_chat
2025-08-08 11:00:00,Vision Interpretation Session — Iconium,Thaddaeus,60,11,teams_meeting
2025-08-08 11:00:00,Church Planting Review — Jerusalem,Matthias,75,5,teams_meeting
2025-08-09 15:00:00,Apostolic Letter Review — Cyprus,Onesimus,2,3,teams_chat
2025-08-10 09:00:00,Council of Apostles — Pergamum,Barnabas,90,9,teams_meeting
2025-08-11 08:30:00,New Convert Catechesis — Troas,Philip_Deacon,30,2,teams_call
2025-08-11 09:45:00,Missionary Strategy Session — Joppa,Mark,60,6,teams_meeting
2025-08-13 15:00:00,Missionary Strategy Session — Ephesus,Paul,90,13,teams_meeting
2025-08-13 16:00:00,Discipleship Training — Crete,Hermas,10,2,teams_call
2025-08-13 19:15:00,New Convert Catechesis — Lystra,Paul,30,2,teams_call
2025-08-14 09:30:00,Council of Apostles — Rome,Erastus,150,15,teams_meeting
2025-08-14 09:30:00,Farewell Address — Perga,Bartholomew,60,6,teams_meeting
2025-08-15 16:00:00,Prayer Vigil — Crete,Matthias,90,14,teams_meeting
2025-08-15 18:30:00,Healing Ministry Debrief — Pergamum,Andrew,45,11,teams_meeting
2025-08-16 10:20:00,Deacon Selection — Philippi,Paul,75,8,teams_meeting
2025-08-16 14:30:00,Apostolic Letter Review — Thyatira,James_Zebedee,60,5,teams_meeting
2025-08-17 09:00:00,Synagogue Outreach Planning — Laodicea,Paul,45,10,teams_meeting
2025-08-17 14:00:00,Famine Relief Coordination — Miletus,Paul,60,11,teams_meeting
2025-08-18 09:00:00,Persecution Response Briefing — Athens,Epaphroditus,30,6,teams_meeting
2025-08-18 16:00:00,Vision Interpretation Session — Perga,Carpus,150,4,teams_meeting
2025-08-18 16:00:00,Idol-Meat Controversy — Jerusalem,Thaddaeus,30,3,teams_call
2025-08-20 13:20:00,Shipwreck Recovery Briefing — Caesarea,Mark,3,5,teams_chat
2025-08-21 09:00:00,Widow's Care Logistics — Athens,Joseph_Barsabas,90,11,teams_meeting
2025-08-21 09:30:00,Apostolic Letter Review — Laodicea,Peter,45,10,teams_meeting
2025-08-22 09:20:00,Prayer Vigil — Philippi,Epaphroditus,10,5,teams_chat
2025-08-22 15:30:00,Apostolic Letter Review — Sardis,John,150,11,teams_meeting
2025-08-23 19:30:00,Church Planting Review — Jerusalem,Philip_Deacon,60,3,teams_meeting
2025-08-24 09:30:00,Synagogue Outreach Planning — Hierapolis,Hermes,75,3,teams_meeting
2025-08-25 09:30:00,Farewell Address — Derbe,James_Zebedee,3,3,teams_chat
2025-08-26 14:20:00,Shipwreck Recovery Briefing — Hierapolis,Peter,120,4,teams_meeting
2025-08-27 14:20:00,Synagogue Outreach Planning — Perga,Timon,60,8,teams_meeting
2025-08-28 11:30:00,Famine Relief Coordination — Philadelphia,Paul,10,2,teams_call
2025-08-29 07:30:00,Prayer Vigil — Corinth,Thomas,120,12,teams_meeting
2025-08-29 10:30:00,New Convert Catechesis — Ephesus,Paul,150,13,teams_meeting
2025-08-30 14:20:00,Synagogue Outreach Planning — Troas,Paul,8,2,teams_chat
2025-08-31 18:00:00,Council of Apostles — Damascus,Andrew,90,13,teams_meeting
2025-09-01 09:00:00,Collection for the Saints — Jerusalem,Thomas,15,3,teams_call
2025-09-01 09:20:00,Widow's Care Logistics — Malta,Paul,5,2,teams_chat
2025-09-02 09:20:00,Gentile Mission Update — Joppa,Cephas_Disciple,10,2,teams_call
2025-09-02 10:00:00,Baptism Service Coordination — Thyatira,Bartholomew,45,7,teams_meeting
2025-09-03 08:20:00,Healing Ministry Debrief — Rome,Paul,45,5,teams_meeting
2025-09-03 14:00:00,Famine Relief Coordination — Tarsus,Bartholomew,180,11,teams_meeting
2025-09-03 19:00:00,Lord's Supper Preparation — Tarsus,Philip,60,4,teams_meeting
2025-09-04 09:20:00,Collection for the Saints — Malta,Hermes,30,11,teams_meeting
2025-09-05 10:45:00,Collection for the Saints — Lystra,Peter,45,4,teams_meeting
2025-09-05 11:30:00,Healing Ministry Debrief — Patmos,Nicanor,120,10,teams_meeting
2025-09-05 18:30:00,Widow's Care Logistics — Caesarea,Parmenas,45,7,teams_meeting
2025-09-06 07:15:00,New Convert Catechesis — Berea,Paul,45,5,teams_meeting
2025-09-06 14:30:00,Doctrinal Council — Miletus,James_Zebedee,60,3,teams_meeting
2025-09-09 07:00:00,Shipwreck Recovery Briefing — Samaria,Matthias,30,4,teams_call
2025-09-09 09:00:00,Shipwreck Recovery Briefing — Lystra,Paul,3,3,teams_chat
2025-09-09 11:15:00,Doctrinal Council — Thessalonica,Bartholomew,180,4,teams_meeting
2025-09-09 11:30:00,Widow's Care Logistics — Sardis,Andrew,180,4,teams_meeting
2025-09-10 09:00:00,Council of Apostles — Crete,Peter,15,3,teams_call
2025-09-10 09:30:00,Breaking of Bread — Berea,James_Alphaeus,90,5,teams_meeting
2025-09-10 18:00:00,Vision Interpretation Session — Jerusalem,Philip,8,5,teams_chat
2025-09-12 11:20:00,Teaching Schedule Review — Antioch,Onesimus,20,2,teams_call
2025-09-13 14:15:00,Baptism Service Coordination — Thyatira,Paul,45,4,teams_meeting
2025-09-13 14:45:00,Apostolic Letter Review — Cyprus,Timon,2,3,teams_chat
2025-09-14 07:30:00,Widow's Care Logistics — Derbe,Prochorus,15,4,teams_call
2025-09-14 08:45:00,Persecution Response Briefing — Puteoli,Paul,150,15,teams_meeting
2025-09-14 13:00:00,Idol-Meat Controversy — Alexandria,Hermas,90,10,teams_meeting
2025-09-14 15:00:00,Collection for the Saints — Derbe,John,15,3,teams_call
2025-09-15 08:00:00,Teaching Schedule Review — Malta,Patrobas,2,3,teams_chat
2025-09-15 11:45:00,Persecution Response Briefing — Thessalonica,Tychicus,5,3,teams_call
2025-09-16 08:30:00,Prayer Vigil — Alexandria,Philip_Deacon,20,4,teams_call
2025-09-18 14:20:00,New Convert Catechesis — Malta,Peter,90,10,teams_meeting
2025-09-19 09:45:00,Church Planting Review — Derbe,Andrew,10,2,teams_call
2025-09-20 09:00:00,Doctrinal Council — Thyatira,James_Alphaeus,3,2,teams_chat
2025-09-20 15:00:00,Persecution Response Briefing — Cyprus,Phlegon,45,3,teams_call
2025-09-21 09:20:00,Healing Ministry Debrief — Derbe,Aristarchus,180,10,teams_meeting
2025-09-23 08:20:00,Letter Dictation — Crete,Andrew,60,8,teams_meeting
2025-09-23 09:45:00,Hospitality Network Coordination — Sardis,Mark,3,3,teams_chat
2025-09-23 14:30:00,Idol-Meat Controversy — Berea,Bartholomew,45,2,teams_call
2025-09-24 16:30:00,Vision Interpretation Session — Jerusalem,John,180,15,teams_meeting
2025-09-25 07:20:00,Persecution Response Briefing — Samaria,Paul,20,3,teams_call
2025-09-25 16:20:00,Missionary Strategy Session — Rome,Secundus,5,4,teams_call
2025-09-27 08:20:00,Gentile Mission Update — Thyatira,Thaddaeus,2,3,teams_chat
2025-09-27 08:30:00,Farewell Address — Malta,Crescens,180,12,teams_meeting
2025-09-27 15:00:00,Lord's Supper Preparation — Malta,James_Zebedee,5,3,teams_call
2025-09-27 16:00:00,Famine Relief Coordination — Philippi,Peter,2,4,teams_chat
2025-09-27 16:00:00,Elders Meeting — Caesarea,James_Zebedee,60,9,teams_meeting
2025-09-28 07:00:00,Synagogue Outreach Planning — Philadelphia,Apollos,120,7,teams_meeting
2025-09-28 10:00:00,Gentile Mission Update — Iconium,Quartus,8,3,teams_chat
2025-09-29 09:00:00,Baptism Service Coordination — Crete,James_Zebedee,60,10,teams_meeting
2025-09-29 09:20:00,Famine Relief Coordination — Corinth,Peter,120,6,teams_meeting
2025-09-30 09:00:00,Idol-Meat Controversy — Alexandria,James_Alphaeus,150,8,teams_meeting
2025-09-30 10:45:00,Trial Preparation — Perga,Paul,3,5,teams_chat
2025-09-30 11:00:00,Idol-Meat Controversy — Perga,Philip,75,9,teams_meeting
2025-09-30 19:15:00,Missionary Strategy Session — Ephesus,Peter,60,4,teams_meeting
2025-10-01 09:00:00,Gentile Mission Update — Pergamum,James_Zebedee,10,3,teams_call
2025-10-02 07:00:00,Widow's Care Logistics — Samaria,Paul,15,4,teams_call
2025-10-02 07:30:00,New Convert Catechesis — Jerusalem,Epaphras,180,14,teams_meeting
2025-10-02 08:00:00,Apostolic Letter Review — Thyatira,Peter,10,4,teams_call
2025-10-03 09:45:00,Healing Ministry Debrief — Thessalonica,Phlegon,60,8,teams_meeting
2025-10-03 15:00:00,Lord's Supper Preparation — Perga,Simon_Zealot,90,3,teams_meeting
2025-10-04 08:20:00,Scribal Workshop — Pergamum,Philip,45,9,teams_meeting
2025-10-04 15:30:00,Elders Meeting — Pergamum,John,60,11,teams_meeting
2025-10-04 15:30:00,Discipleship Training — Laodicea,Paul,120,10,teams_meeting
2025-10-05 10:15:00,Council of Apostles — Miletus,Paul,150,3,teams_meeting
2025-10-05 13:20:00,Widow's Care Logistics — Ephesus,James_Alphaeus,60,13,teams_meeting
2025-10-06 08:00:00,Persecution Response Briefing — Jerusalem,Paul,120,6,teams_meeting
2025-10-06 14:20:00,Scribal Workshop — Hierapolis,Caius,20,2,teams_call
2025-10-06 19:30:00,Prayer Vigil — Hierapolis,Secundus,8,2,teams_chat
2025-10-07 09:00:00,Vision Interpretation Session — Caesarea,John,75,4,teams_meeting
2025-10-07 10:30:00,Scribal Workshop — Lystra,John,90,10,teams_meeting
2025-10-07 10:45:00,Hospitality Network Coordination — Derbe,Aristarchus,10,4,teams_call
2025-10-07 11:00:00,Letter Dictation — Lystra,Paul,45,6,teams_meeting
2025-10-08 09:00:00,Council of Apostles — Malta,Peter,10,3,teams_call
2025-10-08 19:45:00,Missionary Strategy Session — Antioch,Philip_Deacon,30,3,teams_meeting
2025-10-10 08:00:00,Famine Relief Coordination — Rome,Patrobas,150,11,teams_meeting
2025-10-10 09:00:00,Trial Preparation — Alexandria,John,10,3,teams_call
2025-10-10 14:30:00,Famine Relief Coordination — Philippi,Tychicus,30,3,teams_call
2025-10-11 14:00:00,Synagogue Outreach Planning — Colossae,Andrew,15,3,teams_call
2025-10-11 16:45:00,Synagogue Outreach Planning — Caesarea,Caius,30,3,teams_call
2025-10-12 10:00:00,Famine Relief Coordination — Miletus,Philip,75,6,teams_meeting
2025-10-13 08:30:00,Prayer Vigil — Crete,Olympas,5,4,teams_chat
2025-10-14 09:00:00,Famine Relief Coordination — Derbe,Prochorus,120,6,teams_meeting
2025-10-14 11:20:00,Collection for the Saints — Cyprus,Paul,120,11,teams_meeting
2025-10-14 14:20:00,Elders Meeting — Philippi,Matthias,60,5,teams_meeting
2025-10-14 16:30:00,Baptism Service Coordination — Thessalonica,Simon_Zealot,90,10,teams_meeting
2025-10-15 14:45:00,Trial Preparation — Samaria,Paul,150,9,teams_meeting
2025-10-15 15:00:00,Shipwreck Recovery Briefing — Puteoli,Joseph_Barsabas,45,7,teams_meeting
2025-10-17 11:00:00,Letter Dictation — Damascus,James_Zebedee,10,3,teams_chat
2025-10-18 09:30:00,Missionary Strategy Session — Caesarea,Matthew,45,15,teams_meeting
2025-10-18 15:30:00,Apostolic Letter Review — Colossae,Matthias,60,11,teams_meeting
2025-10-19 13:00:00,Persecution Response Briefing — Cyprus,Paul,10,3,teams_call
2025-10-20 08:00:00,Council of Apostles — Tarsus,James_Zebedee,10,3,teams_chat
2025-10-21 14:00:00,Scribal Workshop — Philippi,Prochorus,90,13,teams_meeting
2025-10-21 18:30:00,Famine Relief Coordination — Joppa,Philip_Deacon,75,6,teams_meeting
2025-10-22 09:00:00,Deacon Selection — Colossae,Olympas,10,2,teams_call
2025-10-22 10:15:00,Sabbath Teaching Plan — Laodicea,Bartholomew,60,6,teams_meeting
2025-10-22 19:15:00,Gentile Mission Update — Iconium,Simon_Zealot,8,3,teams_chat
2025-10-23 09:00:00,Shipwreck Recovery Briefing — Troas,Barnabas,75,7,teams_meeting
2025-10-24 10:45:00,Gentile Mission Update — Perga,Paul,30,4,teams_call
2025-10-25 09:00:00,Hospitality Network Coordination — Philadelphia,James_Zebedee,10,2,teams_chat
2025-10-25 14:30:00,Apostolic Letter Review — Malta,Paul,45,12,teams_meeting
2025-10-25 19:30:00,Healing Ministry Debrief — Laodicea,Simon_Zealot,60,11,teams_meeting
2025-10-26 09:00:00,Famine Relief Coordination — Ephesus,Matthias,5,3,teams_chat
2025-10-26 19:20:00,New Convert Catechesis — Jerusalem,Paul,30,2,teams_call
2025-10-27 09:45:00,Breaking of Bread — Samaria,Joseph_Barsabas,75,9,teams_meeting
2025-10-27 10:30:00,Letter Dictation — Derbe,Simon_Zealot,120,8,teams_meeting
2025-10-27 11:20:00,Famine Relief Coordination — Puteoli,James_Alphaeus,45,5,teams_meeting
2025-10-27 14:45:00,Hospitality Network Coordination — Smyrna,Phlegon,10,3,teams_chat
2025-10-28 10:00:00,Shipwreck Recovery Briefing — Troas,Prochorus,45,8,teams_meeting
2025-10-29 07:00:00,Hospitality Network Coordination — Galatia,Sosthenes,45,3,teams_call
2025-10-29 09:00:00,Scribal Workshop — Colossae,Paul,30,6,teams_meeting
2025-10-30 09:00:00,Doctrinal Council — Ephesus,Paul,75,4,teams_meeting
2025-10-30 11:15:00,Vision Interpretation Session — Derbe,Paul,30,11,teams_meeting
2025-10-30 18:45:00,Elders Meeting — Tarsus,Nicolas,90,8,teams_meeting
2025-10-31 13:15:00,Church Planting Review — Puteoli,Thomas,2,4,teams_chat
2025-10-31 14:15:00,Teaching Schedule Review — Athens,James_Alphaeus,10,3,teams_call
2025-11-01 09:15:00,Council of Apostles — Miletus,Matthias,120,12,teams_meeting
2025-11-01 14:00:00,Elders Meeting — Damascus,Sosthenes,20,2,teams_call
2025-11-01 14:30:00,Trial Preparation — Troas,Thaddaeus,45,10,teams_meeting
2025-11-02 08:00:00,Doctrinal Council — Puteoli,Bartholomew,90,4,teams_meeting
2025-11-02 15:00:00,Gentile Mission Update — Perga,Paul,180,6,teams_meeting
2025-11-03 07:30:00,Prayer Vigil — Rome,Timon,60,5,teams_meeting
2025-11-03 13:00:00,Hospitality Network Coordination — Smyrna,Paul,60,6,teams_meeting
2025-11-03 14:30:00,Teaching Schedule Review — Derbe,Philip_Deacon,60,6,teams_meeting
2025-11-03 16:45:00,Church Planting Review — Puteoli,Paul,150,15,teams_meeting
2025-11-04 08:30:00,Lord's Supper Preparation — Joppa,Paul,5,3,teams_chat
2025-11-04 09:00:00,Farewell Address — Smyrna,Sopater,10,3,teams_chat
2025-11-04 14:00:00,Trial Preparation — Derbe,Parmenas,60,15,teams_meeting
2025-11-04 15:30:00,Scribal Workshop — Philippi,James_Zebedee,15,3,teams_call
2025-11-04 16:15:00,Collection for the Saints — Iconium,Paul,5,3,teams_chat
2025-11-04 19:30:00,Synagogue Outreach Planning — Galatia,John,120,6,teams_meeting
2025-11-05 09:00:00,Elders Meeting — Lystra,Matthew,2,2,teams_chat
2025-11-05 14:30:00,Sabbath Teaching Plan — Malta,Simon_Zealot,60,6,teams_meeting
2025-11-05 16:20:00,Discipleship Training — Alexandria,Bartholomew,30,2,teams_call
2025-11-06 08:00:00,Deacon Selection — Antioch,Gaius_Derbe,45,4,teams_meeting
2025-11-06 14:30:00,Baptism Service Coordination — Laodicea,Matthew,10,2,teams_chat
2025-11-08 08:30:00,Teaching Schedule Review — Corinth,Aristarchus,3,2,teams_chat
2025-11-08 09:45:00,Discipleship Training — Pergamum,James_Alphaeus,60,4,teams_meeting
2025-11-08 15:00:00,Teaching Schedule Review — Jerusalem,Epaphras,5,4,teams_chat
2025-11-09 09:30:00,Healing Ministry Debrief — Cyprus,Paul,30,3,teams_call
2025-11-09 11:20:00,Trial Preparation — Puteoli,Simon_Zealot,75,8,teams_meeting
2025-11-10 09:15:00,Idol-Meat Controversy — Puteoli,Sopater,8,5,teams_chat
2025-11-10 14:00:00,Elders Meeting — Ephesus,Matthias,45,3,teams_call
2025-11-10 19:00:00,New Convert Catechesis — Samaria,Paul,180,4,teams_meeting
2025-11-11 11:00:00,Persecution Response Briefing — Puteoli,Bartholomew,45,2,teams_call
2025-11-11 19:00:00,Synagogue Outreach Planning — Caesarea,Peter,60,13,teams_meeting
2025-11-11 19:00:00,Breaking of Bread — Colossae,Paul,8,3,teams_chat
2025-11-12 14:00:00,Scribal Workshop — Puteoli,Epaphroditus,60,9,teams_meeting
